Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
0,LaMarcus Aldridge,Portland Trail Blazers,West,22-Dec-14,FC,11-Jun,260,29,2006,8,2014-2015,2015,0.5
0,John Wall,Washington Wizards,East,15-Dec-14,PG,4-Jun,210,24,2010,4,2014-2015,2015,0.5
0,James Harden,Houston Rockets,West,15-Dec-14,SG,5-Jun,220,25,2009,5,2014-2015,2015,0.5
0,Kyle Lowry,Toronto Raptors,East,8-Dec-14,PG,1-Jun,196,28,2006,8,2014-2015,2015,0.5
0,LaMarcus Aldridge,Portland Trail Blazers,West,8-Dec-14,FC,11-Jun,260,29,2006,8,2014-2015,2015,0.5
0,LeBron James,Cleveland Cavaliers,East,1-Dec-14,F,8-Jun,250,30,2003,11,2014-2015,2015,0.5
0,Blake Griffin,Los Angeles Clippers,West,1-Dec-14,PF,10-Jun,250,25,2009,5,2014-2015,2015,0.5
0,Lou Williams,Toronto Raptors,East,24-Nov-14,G,1-Jun,175,28,2005,9,2014-2015,2015,0.5
0,DeMarcus Cousins,Sacramento Kings,West,24-Nov-14,C,11-Jun,270,24,2010,4,2014-2015,2015,0.5
0,LeBron James,Cleveland Cavaliers,East,17-Nov-14,F,8-Jun,250,30,2003,11,2014-2015,2015,0.5
0,Damian Lillard,Portland Trail Blazers,West,17-Nov-14,G,3-Jun,195,24,2012,2,2014-2015,2015,0.5
0,Deron Williams,Brooklyn Nets,East,10-Nov-14,PG,3-Jun,200,30,2005,9,2014-2015,2015,0.5
0,Stephen Curry,Golden State Warriors,West,10-Nov-14,G,3-Jun,190,26,2009,5,2014-2015,2015,0.5
0,Chris Bosh,Miami Heat,East,3-Nov-14,PF,11-Jun,235,30,2003,11,2014-2015,2015,0.5
0,Klay Thompson,Golden State Warriors,West,3-Nov-14,G,7-Jun,215,25,2011,3,2014-2015,2015,0.5
0,Paul Millsap,Atlanta Hawks,East,11-Apr-16,FC,8-Jun,246,31,2006,9,2015-2016,2016,0.5
0,Karl-Anthony Towns,Minnesota Timberwolves,West,11-Apr-16,C,Jul-00,244,20,2015,0,2015-2016,2016,0.5
0,LeBron James,Cleveland Cavaliers,East,4-Apr-16,F,8-Jun,250,31,2003,12,2015-2016,2016,0.5
0,J.J. Barea,Dallas Mavericks,West,4-Apr-16,G,Jun-00,185,31,2006,9,2015-2016,2016,0.5
0,LeBron James,Cleveland Cavaliers,East,28-Mar-16,F,8-Jun,250,31,2003,12,2015-2016,2016,0.5
0,Klay Thompson,Golden State Warriors,West,28-Mar-16,G,7-Jun,215,26,2011,4,2015-2016,2016,0.5
0,Kyle Lowry,Toronto Raptors,East,21-Mar-16,PG,1-Jun,196,29,2006,9,2015-2016,2016,0.5
0,Kevin Durant,Oklahoma City Thunder,West,21-Mar-16,SF,9-Jun,240,27,2007,8,2015-2016,2016,0.5
0,Kemba Walker,Charlotte Hornets,East,14-Mar-16,G,1-Jun,184,25,2011,4,2015-2016,2016,0.5
0,Stephen Curry,Golden State Warriors,West,14-Mar-16,G,3-Jun,190,27,2009,6,2015-2016,2016,0.5
0,LeBron James,Cleveland Cavaliers,East,7-Mar-16,F,8-Jun,250,31,2003,12,2015-2016,2016,0.5
0,Kawhi Leonard,San Antonio Spurs,West,7-Mar-16,F,7-Jun,230,24,2011,4,2015-2016,2016,0.5
0,Kyle Lowry,Toronto Raptors,East,29-Feb-16,PG,1-Jun,196,29,2006,9,2015-2016,2016,0.5
0,Stephen Curry,Golden State Warriors,West,29-Feb-16,G,3-Jun,190,27,2009,6,2015-2016,2016,0.5
0,Isaiah Thomas,Boston Celtics,East,8-Feb-16,PG,9-May,185,27,2011,4,2015-2016,2016,0.5
0,LaMarcus Aldridge,San Antonio Spurs,West,8-Feb-16,FC,11-Jun,260,30,2006,9,2015-2016,2016,0.5
0,Dwyane Wade,Miami Heat,East,1-Feb-16,SG,4-Jun,220,34,2003,12,2015-2016,2016,0.5
0,Kevin Durant,Oklahoma City Thunder,West,1-Feb-16,SF,9-Jun,240,27,2007,8,2015-2016,2016,0.5
0,Kemba Walker,Charlotte Hornets,East,25-Jan-16,G,1-Jun,184,25,2011,4,2015-2016,2016,0.5
0,DeMarcus Cousins,Sacramento Kings,West,25-Jan-16,C,11-Jun,270,25,2010,5,2015-2016,2016,0.5
0,John Wall,Washington Wizards,East,18-Jan-16,PG,4-Jun,210,25,2010,5,2015-2016,2016,0.5
0,Kevin Durant,Oklahoma City Thunder,West,18-Jan-16,SF,9-Jun,240,27,2007,8,2015-2016,2016,0.5
0,LeBron James,Cleveland Cavaliers,East,11-Jan-16,F,8-Jun,250,31,2003,12,2015-2016,2016,0.5
0,Chris Paul,Los Angeles Clippers,West,11-Jan-16,PG,Jun-00,175,30,2005,10,2015-2016,2016,0.5
0,Brook Lopez,Brooklyn Nets,East,4-Jan-16,C,Jul-00,270,27,2008,7,2015-2016,2016,0.5
0,Draymond Green,Golden State Warriors,West,4-Jan-16,F,7-Jun,230,25,2012,3,2015-2016,2016,0.5
0,Marcin Gortat,Washington Wizards,East,28-Dec-15,FC,11-Jun,240,32,2005,8,2015-2016,2016,0.5
0,Russell Westbrook,Oklahoma City Thunder,West,28-Dec-15,G,3-Jun,200,27,2008,7,2015-2016,2016,0.5
0,Reggie Jackson,Detroit Pistons,East,21-Dec-15,G,3-Jun,208,25,2011,4,2015-2016,2016,0.5
0,Kawhi Leonard,San Antonio Spurs,West,21-Dec-15,F,7-Jun,230,24,2011,4,2015-2016,2016,0.5
0,DeMar DeRozan,Toronto Raptors,East,14-Dec-15,GF,7-Jun,220,26,2009,6,2015-2016,2016,0.5
0,Kevin Durant,Oklahoma City Thunder,West,14-Dec-15,SF,9-Jun,240,27,2007,8,2015-2016,2016,0.5
0,Reggie Jackson,Detroit Pistons,East,7-Dec-15,G,3-Jun,208,25,2011,4,2015-2016,2016,0.5
0,Stephen Curry,Golden State Warriors,West,7-Dec-15,G,3-Jun,190,27,2009,6,2015-2016,2016,0.5
0,Paul George,Indiana Pacers,East,30-Nov-15,GF,9-Jun,220,25,2010,5,2015-2016,2016,0.5
0,Kevin Durant,Oklahoma City Thunder,West,30-Nov-15,SF,9-Jun,240,27,2007,8,2015-2016,2016,0.5
0,LeBron James,Cleveland Cavaliers,East,23-Nov-15,F,8-Jun,250,31,2003,12,2015-2016,2016,0.5
0,Stephen Curry,Golden State Warriors,West,23-Nov-15,G,3-Jun,190,27,2009,6,2015-2016,2016,0.5
0,Nicolas Batum,Charlotte Hornets,East,16-Nov-15,F,8-Jun,200,27,2008,7,2015-2016,2016,0.5
0,DeMarcus Cousins,Sacramento Kings,West,16-Nov-15,C,11-Jun,270,25,2010,5,2015-2016,2016,0.5
0,Andre Drummond,Detroit Pistons,East,9-Nov-15,C,11-Jun,279,22,2012,3,2015-2016,2016,0.5
0,James Harden,Houston Rockets,West,9-Nov-15,SG,5-Jun,220,26,2009,6,2015-2016,2016,0.5
0,Andre Drummond,Detroit Pistons,East,2-Nov-15,C,11-Jun,279,22,2012,3,2015-2016,2016,0.5
0,Stephen Curry,Golden State Warriors,West,2-Nov-15,G,3-Jun,190,27,2009,6,2015-2016,2016,0.5
0,Paul George,Indiana Pacers,East,10-Apr-17,GF,9-Jun,220,26,2010,6,2016-2017,2017,0.5
0,Russell Westbrook,Oklahoma City Thunder,West,10-Apr-17,G,3-Jun,200,28,2008,8,2016-2017,2017,0.5
0,Jimmy Butler,Chicago Bulls,East,3-Apr-17,GF,8-Jun,236,27,2011,5,2016-2017,2017,0.5
0,Stephen Curry,Golden State Warriors,West,3-Apr-17,G,3-Jun,190,28,2009,7,2016-2017,2017,0.5
0,DeMar DeRozan,Toronto Raptors,East,27-Mar-17,GF,7-Jun,220,27,2009,7,2016-2017,2017,0.5
0,James Harden,Houston Rockets,West,27-Mar-17,SG,5-Jun,220,27,2009,7,2016-2017,2017,0.5
0,Hassan Whiteside,Miami Heat,East,20-Mar-17,C,Jul-00,265,27,2010,4,2016-2017,2017,0.5
0,Damian Lillard,Portland Trail Blazers,West,20-Mar-17,G,3-Jun,195,26,2012,4,2016-2017,2017,0.5
0,John Wall,Washington Wizards,East,13-Mar-17,PG,4-Jun,210,26,2010,6,2016-2017,2017,0.5
0,Karl-Anthony Towns,Minnesota Timberwolves,West,13-Mar-17,C,Jul-00,244,21,2015,1,2016-2017,2017,0.5
0,Kemba Walker,Charlotte Hornets,East,6-Mar-17,G,1-Jun,184,26,2011,5,2016-2017,2017,0.5
0,Kawhi Leonard,San Antonio Spurs,West,6-Mar-17,F,7-Jun,230,25,2011,5,2016-2017,2017,0.5
0,LeBron James,Cleveland Cavaliers,East,13-Feb-17,F,8-Jun,250,32,2003,13,2016-2017,2017,0.5
0,Blake Griffin,Los Angeles Clippers,West,13-Feb-17,PF,10-Jun,250,27,2009,7,2016-2017,2017,0.5
0,Isaiah Thomas,Boston Celtics,East,6-Feb-17,PG,9-May,185,28,2011,5,2016-2017,2017,0.5
0,Stephen Curry,Golden State Warriors,West,6-Feb-17,G,3-Jun,190,28,2009,7,2016-2017,2017,0.5
0,Dion Waiters,Miami Heat,East,30-Jan-17,SG,4-Jun,215,25,2012,4,2016-2017,2017,0.5
0,DeMarcus Cousins,Sacramento Kings,West,30-Jan-17,C,11-Jun,270,26,2010,6,2016-2017,2017,0.5
0,Joel Embiid,Philadelphia Sixers,East,23-Jan-17,C,Jul-00,260,22,2014,2,2016-2017,2017,0.5
0,Kawhi Leonard,San Antonio Spurs,West,23-Jan-17,F,7-Jun,230,25,2011,5,2016-2017,2017,0.5
0,DeMar DeRozan,Toronto Raptors,East,16-Jan-17,GF,7-Jun,220,27,2009,7,2016-2017,2017,0.5
0,Gordon Hayward,Utah Jazz,West,16-Jan-17,GF,8-Jun,225,26,2010,6,2016-2017,2017,0.5
0,Jimmy Butler,Chicago Bulls,East,9-Jan-17,GF,8-Jun,236,27,2011,5,2016-2017,2017,0.5
0,Stephen Curry,Golden State Warriors,West,9-Jan-17,G,3-Jun,190,28,2009,7,2016-2017,2017,0.5
0,John Wall,Washington Wizards,East,2-Jan-17,PG,4-Jun,210,26,2010,6,2016-2017,2017,0.5
0,James Harden,Houston Rockets,West,2-Jan-17,SG,5-Jun,220,27,2009,7,2016-2017,2017,0.5
0,Isaiah Thomas,Boston Celtics,East,26-Dec-16,PG,9-May,185,28,2011,5,2016-2017,2017,0.5
0,Russell Westbrook,Oklahoma City Thunder,West,26-Dec-16,G,3-Jun,200,28,2008,8,2016-2017,2017,0.5
0,DeMar DeRozan,Toronto Raptors,East,19-Dec-16,GF,7-Jun,220,27,2009,7,2016-2017,2017,0.5
0,James Harden,Houston Rockets,West,19-Dec-16,SG,5-Jun,220,27,2009,7,2016-2017,2017,0.5
0,LeBron James,Cleveland Cavaliers,East,12-Dec-16,F,8-Jun,250,32,2003,13,2016-2017,2017,0.5
0,Marc Gasol,Memphis Grizzlies,West,12-Dec-16,C,1-Jul,255,32,2007,8,2016-2017,2017,0.5
0,Giannis Antetokounmpo,Milwaukee Bucks,East,5-Dec-16,F,11-Jun,242,22,2013,3,2016-2017,2017,0.5
0,Russell Westbrook,Oklahoma City Thunder,West,5-Dec-16,G,3-Jun,200,28,2008,8,2016-2017,2017,0.5
0,Kevin Love,Cleveland Cavaliers,East,28-Nov-16,FC,10-Jun,251,28,2008,8,2016-2017,2017,0.5
0,Kevin Durant,Golden State Warriors,West,28-Nov-16,SF,9-Jun,240,28,2007,9,2016-2017,2017,0.5
0,Jimmy Butler,Chicago Bulls,East,21-Nov-16,GF,8-Jun,236,27,2011,5,2016-2017,2017,0.5
0,Anthony Davis,New Orleans Pelicans,West,21-Nov-16,PF,10-Jun,253,23,2012,4,2016-2017,2017,0.5
0,DeMar DeRozan,Toronto Raptors,East,14-Nov-16,GF,7-Jun,220,27,2009,7,2016-2017,2017,0.5
0,James Harden,Houston Rockets,West,14-Nov-16,SG,5-Jun,220,27,2009,7,2016-2017,2017,0.5
0,LeBron James,Cleveland Cavaliers,East,7-Nov-16,F,8-Jun,250,32,2003,13,2016-2017,2017,0.5
0,George Hill,Utah Jazz,West,7-Nov-16,G,3-Jun,188,30,2008,8,2016-2017,2017,0.5
0,LeBron James,Cleveland Cavaliers,East,31-Oct-16,F,8-Jun,250,32,2003,13,2016-2017,2017,0.5
0,Russell Westbrook,Oklahoma City Thunder,West,31-Oct-16,G,3-Jun,200,28,2008,8,2016-2017,2017,0.5
0,Ben Simmons,Philadelphia Sixers,East,9-Apr-18,PF,10-Jun,230,21,2016,1,2017-2018,2018,0.5
0,Nikola Jokic,Denver Nuggets,West,9-Apr-18,C,Jul-00,250,23,2014,2,2017-2018,2018,0.5
0,Victor Oladipo,Indiana Pacers,East,2-Apr-18,G,4-Jun,210,25,2013,4,2017-2018,2018,0.5
0,Damian Lillard,Portland Trail Blazers,West,2-Apr-18,G,3-Jun,195,27,2012,5,2017-2018,2018,0.5
0,LeBron James,Cleveland Cavaliers,East,26-Mar-18,F,8-Jun,250,33,2003,14,2017-2018,2018,0.5
0,LaMarcus Aldridge,San Antonio Spurs,West,26-Mar-18,FC,11-Jun,260,32,2006,11,2017-2018,2018,0.5
0,LeBron James,Cleveland Cavaliers,East,19-Mar-18,F,8-Jun,250,33,2003,14,2017-2018,2018,0.5
0,Russell Westbrook,Oklahoma City Thunder,West,19-Mar-18,G,3-Jun,200,29,2008,9,2017-2018,2018,0.5
0,DeMar DeRozan,Toronto Raptors,East,12-Mar-18,GF,7-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Damian Lillard,Portland Trail Blazers,West,12-Mar-18,G,3-Jun,195,27,2012,5,2017-2018,2018,0.5
0,DeMar DeRozan,Toronto Raptors,East,5-Mar-18,GF,7-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Anthony Davis,New Orleans Pelicans,West,5-Mar-18,PF,10-Jun,253,24,2012,5,2017-2018,2018,0.5
0,Joel Embiid,Philadelphia Sixers,East,12-Feb-18,C,Jul-00,260,23,2014,3,2017-2018,2018,0.5
0,James Harden,Houston Rockets,West,12-Feb-18,SG,5-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Andre Drummond,Detroit Pistons,East,5-Feb-18,C,11-Jun,279,24,2012,5,2017-2018,2018,0.5
0,James Harden,Houston Rockets,West,5-Feb-18,SG,5-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Khris Middleton,Milwaukee Bucks,East,29-Jan-18,SF,8-Jun,222,26,2012,5,2017-2018,2018,0.5
0,Stephen Curry,Golden State Warriors,West,29-Jan-18,G,3-Jun,190,29,2009,8,2017-2018,2018,0.5
0,Joel Embiid,Philadelphia Sixers,East,22-Jan-18,C,Jul-00,260,23,2014,3,2017-2018,2018,0.5
0,Damian Lillard,Portland Trail Blazers,West,22-Jan-18,G,3-Jun,195,27,2012,5,2017-2018,2018,0.5
0,Goran Dragic,Miami Heat,East,15-Jan-18,G,3-Jun,190,31,2008,9,2017-2018,2018,0.5
0,Lou Williams,Los Angeles Clippers,West,15-Jan-18,G,1-Jun,175,31,2005,12,2017-2018,2018,0.5
0,DeMar DeRozan,Toronto Raptors,East,8-Jan-18,GF,7-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Stephen Curry,Golden State Warriors,West,8-Jan-18,G,3-Jun,190,29,2009,8,2017-2018,2018,0.5
0,Bradley Beal,Washington Wizards,East,2-Jan-18,SG,5-Jun,207,24,2012,5,2017-2018,2018,0.5
0,Lou Williams,Los Angeles Clippers,West,2-Jan-18,G,1-Jun,175,31,2005,12,2017-2018,2018,0.5
0,DeMar DeRozan,Toronto Raptors,East,26-Dec-17,GF,7-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Russell Westbrook,Oklahoma City Thunder,West,26-Dec-17,G,3-Jun,200,29,2008,9,2017-2018,2018,0.5
0,LeBron James,Cleveland Cavaliers,East,18-Dec-17,F,8-Jun,250,33,2003,14,2017-2018,2018,0.5
0,Chris Paul,Houston Rockets,West,18-Dec-17,PG,Jun-00,175,32,2005,12,2017-2018,2018,0.5
0,Victor Oladipo,Indiana Pacers,East,11-Dec-17,G,4-Jun,210,25,2013,4,2017-2018,2018,0.5
0,Kevin Durant,Golden State Warriors,West,11-Dec-17,SF,9-Jun,240,29,2007,10,2017-2018,2018,0.5
0,LeBron James,Cleveland Cavaliers,East,4-Dec-17,F,8-Jun,250,33,2003,14,2017-2018,2018,0.5
0,James Harden,Houston Rockets,West,4-Dec-17,SG,5-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Goran Dragic,Miami Heat,East,27-Nov-17,G,3-Jun,190,31,2008,9,2017-2018,2018,0.5
0,Anthony Davis,New Orleans Pelicans,West,27-Nov-17,PF,10-Jun,253,24,2012,5,2017-2018,2018,0.5
0,DeMar DeRozan,Toronto Raptors,East,20-Nov-17,GF,7-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Karl-Anthony Towns,Minnesota Timberwolves,West,20-Nov-17,C,Jul-00,244,22,2015,2,2017-2018,2018,0.5
0,Tobias Harris,Detroit Pistons,East,13-Nov-17,F,9-Jun,235,25,2011,6,2017-2018,2018,0.5
0,Nikola Jokic,Denver Nuggets,West,13-Nov-17,C,Jul-00,250,23,2014,2,2017-2018,2018,0.5
0,Kristaps Porzingis,New York Knicks,East,6-Nov-17,FC,3-Jul,240,22,2015,2,2017-2018,2018,0.5
0,James Harden,Houston Rockets,West,6-Nov-17,SG,5-Jun,220,28,2009,8,2017-2018,2018,0.5
0,Victor Oladipo,Indiana Pacers,East,30-Oct-17,G,4-Jun,210,25,2013,4,2017-2018,2018,0.5
0,DeMarcus Cousins,New Orleans Pelicans,West,30-Oct-17,C,11-Jun,270,27,2010,7,2017-2018,2018,0.5
0,Giannis Antetokounmpo,Milwaukee Bucks,East,23-Oct-17,F,11-Jun,242,23,2013,4,2017-2018,2018,0.5
0,James Harden,Houston Rockets,West,23-Oct-17,SG,5-Jun,220,28,2009,8,2017-2018,2018,0.5
1,Giannis Antetokounmpo,Milwaukee Bucks,East,26-Nov-18,F,11-Jun,242,24,2013,5,2018-2019,2019,0.5
1,Tobias Harris,Los Angeles Clippers,West,26-Nov-18,F,9-Jun,235,26,2011,7,2018-2019,2019,0.5
1,Nikola Vucevic,Orlando Magic,East,19-Nov-18,PF,Jul-00,260,28,2011,7,2018-2019,2019,0.5
1,Anthony Davis,New Orleans Pelicans,West,19-Nov-18,PF,10-Jun,253,25,2012,6,2018-2019,2019,0.5
1,Pascal Siakam,Toronto Raptors,East,12-Nov-18,F,9-Jun,230,25,2016,2,2018-2019,2019,0.5
1,C.J. McCollum,Portland Trail Blazers,West,12-Nov-18,G,3-Jun,190,27,2013,5,2018-2019,2019,0.5
1,Victor Oladipo,Indiana Pacers,East,5-Nov-18,G,4-Jun,210,26,2013,5,2018-2019,2019,0.5
1,Russell Westbrook,Oklahoma City Thunder,West,5-Nov-18,G,3-Jun,200,30,2008,10,2018-2019,2019,0.5
1,Giannis Antetokounmpo,Milwaukee Bucks,East,29-Oct-18,F,11-Jun,242,24,2013,5,2018-2019,2019,0.5
1,Stephen Curry,Golden State Warriors,West,29-Oct-18,G,3-Jun,190,30,2009,9,2018-2019,2019,0.5
1,Kemba Walker,Charlotte Hornets,East,22-Oct-18,G,1-Jun,184,28,2011,7,2018-2019,2019,0.5
1,Nikola Jokic,Denver Nuggets,West,22-Oct-18,C,Jul-00,250,24,2014,3,2018-2019,2019,0.5
